,num_go_files_scanned,num_config_files_scanned,implements_total,interfaces_total,import_hits,uses_run_or_init_hits
num_go_files_scanned,1.0,0.07789335810343688,0.34774729877801536,0.7459283165631208,0.27531943409733806,0.2596565698307597
num_config_files_scanned,0.07789335810343688,1.0,0.24772077688846403,0.18069368818350845,0.13632347268734143,0.2972508125540283
implements_total,0.34774729877801536,0.24772077688846403,1.0,0.8632971400245086,0.7265267468909071,0.6404521019510417
interfaces_total,0.7459283165631208,0.18069368818350845,0.8632971400245086,1.0,0.6215465735827884,0.5249542611151211
import_hits,0.27531943409733806,0.13632347268734143,0.7265267468909071,0.6215465735827884,1.0,0.6558676351234657
uses_run_or_init_hits,0.2596565698307597,0.2972508125540283,0.6404521019510417,0.5249542611151211,0.6558676351234657,1.0
