,num_go_files_scanned,num_go_files_scanned,num_go_files_scanned,num_go_files_scanned,num_go_files_scanned,num_go_files_scanned,num_go_files_scanned,num_config_files_scanned,num_config_files_scanned,num_config_files_scanned,num_config_files_scanned,num_config_files_scanned,num_config_files_scanned,num_config_files_scanned,implements_total,implements_total,implements_total,implements_total,implements_total,implements_total,implements_total,interfaces_total,interfaces_total,interfaces_total,interfaces_total,interfaces_total,interfaces_total,interfaces_total,import_hits,import_hits,import_hits,import_hits,import_hits,import_hits,import_hits,uses_run_or_init_hits,uses_run_or_init_hits,uses_run_or_init_hits,uses_run_or_init_hits,uses_run_or_init_hits,uses_run_or_init_hits,uses_run_or_init_hits
,mean,median,std,min,max,sum,count,mean,median,std,min,max,sum,count,mean,median,std,min,max,sum,count,mean,median,std,min,max,sum,count,mean,median,std,min,max,sum,count,mean,median,std,min,max,sum,count
is_weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,16.142857142857142,0.0,54.48762335522718,0,205,226,14,187.5,24.5,551.8039994836516,0,2095,2625,14,1.5714285714285714,0.0,5.879747322073336,0,22,22,14,2.857142857142857,0.0,10.690449676496975,0,40,40,14,0.14285714285714285,0.0,0.36313651960128146,0,1,2,14,0.07142857142857142,0.0,0.2672612419124244,0,1,1,14
True,70.66666666666667,11.0,162.87341710665982,2,1204,5724,81,40.76543209876543,3.0,243.93955560778463,0,2136,3302,81,9.54320987654321,3.0,24.414160533753787,1,140,773,81,13.580246913580247,2.0,29.989524920182895,0,155,1100,81,14.82716049382716,5.0,35.351021952504,2,286,1201,81,1.5555555555555556,1.0,1.830300521772312,0,10,126,81
